,id,publish_date,sold_date,days_to_sell
139,852,2016-03-27,2016-04-16,20
140,862,2016-03-27,2016-04-30,34
141,863,2016-03-27,2016-04-16,20
142,864,2016-03-27,2016-04-07,11
143,881,2016-03-27,2016-04-08,12
144,890,2016-03-27,2016-04-07,11
145,902,2016-03-27,2016-04-07,11
146,906,2016-03-27,2016-04-08,12
147,908,2016-03-27,2016-04-16,20
148,909,2016-03-27,2016-04-08,12
149,910,2016-03-27,2016-04-16,20
150,912,2016-03-27,2016-05-05,39
151,916,2016-03-27,2016-06-17,82
152,954,2016-03-27,2016-06-02,67
153,966,2016-03-27,2016-04-24,28
154,975,2016-03-27,2016-04-30,34
155,976,2016-03-27,2016-04-30,34
156,984,2016-03-27,2016-04-08,12
157,987,2016-03-27,2016-05-13,47
158,995,2016-03-27,2016-04-07,11
159,997,2016-03-27,2016-04-09,13
160,1004,2016-03-27,2016-04-16,20
161,1006,2016-03-27,2016-05-12,46
162,1009,2016-03-27,2016-04-07,11
163,1014,2016-03-27,2016-04-09,13
164,1017,2016-03-27,2016-04-08,12
165,1019,2016-03-27,2016-04-07,11
166,1030,2016-03-27,2016-04-09,13
167,1035,2016-03-27,2016-04-07,11
168,1037,2016-03-27,2016-04-18,22
169,1039,2016-03-27,2016-04-08,12
170,1044,2016-03-27,2016-04-08,12
171,1045,2016-03-27,2016-04-08,12
172,1047,2016-03-27,2016-04-07,11
173,1049,2016-03-27,2016-05-12,46
174,1059,2016-03-27,2016-04-16,20
175,1061,2016-03-27,2016-04-08,12
176,1062,2016-03-27,2016-04-07,11
177,1063,2016-03-27,2016-04-21,25
178,1064,2016-03-27,2016-04-07,11
179,1065,2016-03-27,2016-04-08,12
180,1074,2016-03-27,2016-04-08,12
181,1084,2016-03-27,2016-04-07,11
182,1087,2016-03-27,2016-05-27,61
183,1090,2016-03-27,2016-04-07,11
184,1092,2016-03-27,2016-04-07,11
185,1097,2016-03-27,2016-06-14,79
186,1105,2016-03-27,2016-04-16,20
187,1110,2016-03-27,2016-04-21,25
188,1113,2016-03-27,2016-04-09,13
189,1118,2016-03-27,2016-05-25,59
190,1120,2016-03-27,2016-04-20,24
191,1130,2016-03-27,2016-04-30,34
192,1133,2016-03-27,2016-04-07,11
193,1134,2016-03-27,2016-04-21,25
194,1139,2016-03-27,2016-04-09,13
195,1151,2016-03-27,2016-04-16,20
196,1156,2016-03-27,2016-04-16,20
197,1159,2016-03-27,2016-04-16,20
198,1164,2016-03-27,2016-04-09,13
199,1168,2016-03-27,2016-04-21,25
200,1173,2016-03-27,2016-04-30,34
201,1178,2016-03-27,2016-05-23,57
202,1181,2016-03-27,2016-04-22,26
203,1182,2016-03-27,2016-04-16,20
204,1183,2016-03-27,2016-04-09,13
205,1184,2016-03-27,2016-05-19,53
206,1190,2016-03-27,2016-04-30,34
207,1195,2016-03-27,2016-04-09,13
208,1198,2016-03-27,2016-04-07,11
209,1200,2016-03-27,2016-04-07,11
210,1213,2016-03-27,2016-04-07,11
211,1215,2016-03-27,2016-05-14,48
212,1239,2016-03-27,2016-04-30,34
213,1240,2016-03-27,2016-04-07,11
214,1247,2016-03-27,2016-04-07,11
215,1248,2016-03-27,2016-04-07,11
216,1251,2016-03-27,2016-04-16,20
217,1252,2016-03-27,2016-04-07,11
218,1274,2016-03-27,2016-04-08,12
219,1279,2016-03-27,2016-04-09,13
220,1281,2016-03-27,2016-05-05,39
221,1300,2016-03-27,2016-04-08,12
222,1301,2016-03-27,2016-04-16,20
223,1304,2016-03-27,2016-04-08,12
224,1305,2016-03-27,2016-04-16,20
225,1324,2016-03-27,2016-04-07,11
226,1329,2016-03-27,2016-04-08,12
227,1330,2016-03-27,2016-04-08,12
228,1337,2016-03-27,2016-04-09,13
229,1340,2016-03-27,2016-05-10,44
230,1342,2016-03-27,2016-04-07,11
231,1343,2016-03-27,2016-04-09,13
232,1344,2016-03-27,2016-06-16,81
233,1349,2016-03-27,2016-04-07,11
234,1354,2016-03-27,2016-04-07,11
235,1357,2016-03-27,2016-04-19,23
236,1378,2016-03-27,2016-04-16,20
237,1381,2016-03-27,2016-04-07,11
238,1402,2016-03-27,2016-04-07,11
239,1448,2016-03-27,2016-04-09,13
240,1452,2016-03-27,2016-05-07,41
241,1466,2016-03-27,2016-04-16,20
242,1492,2016-03-27,2016-04-30,34
243,1509,2016-03-27,2016-05-10,44
244,1518,2016-03-27,2016-04-30,34
245,1526,2016-03-27,2016-04-07,11
246,1533,2016-03-27,2016-04-07,11
247,1534,2016-03-27,2016-04-30,34
248,1544,2016-03-27,2016-04-16,20
249,1545,2016-03-27,2016-04-07,11
250,1547,2016-03-27,2016-04-09,13
251,1555,2016-03-27,2016-04-07,11
252,1561,2016-03-27,2016-04-21,25
253,1562,2016-03-27,2016-04-07,11
254,1568,2016-03-27,2016-04-16,20
255,1578,2016-03-27,2016-04-16,20
256,1591,2016-03-27,2016-04-24,28
257,1596,2016-03-27,2016-04-07,11
258,1600,2016-03-27,2016-04-07,11
259,1604,2016-03-27,2016-04-07,11
260,1606,2016-03-27,2016-04-16,20
261,1609,2016-03-27,2016-04-07,11
262,1610,2016-03-27,2016-04-07,11
263,1612,2016-03-27,2016-04-07,11
264,1613,2016-03-27,2016-05-27,61
265,1620,2016-03-27,2016-04-16,20
266,1623,2016-03-27,2016-04-16,20
267,1625,2016-03-27,2016-04-16,20
268,1630,2016-03-27,2016-04-16,20
269,1636,2016-03-27,2016-04-16,20
270,1656,2016-03-27,2016-04-30,34
271,1657,2016-03-27,2016-04-09,13
272,1658,2016-03-27,2016-04-07,11
273,1660,2016-03-27,2016-04-07,11
274,1667,2016-03-27,2016-04-07,11
275,1671,2016-03-27,2016-04-07,11
276,1675,2016-03-27,2016-05-13,47
277,1679,2016-03-27,2016-04-07,11
278,1681,2016-03-27,2016-04-24,28
279,1683,2016-03-27,2016-04-24,28
280,1685,2016-03-27,2016-04-08,12
281,1693,2016-03-27,2016-07-01,96
282,1701,2016-03-27,2016-04-07,11
283,1702,2016-03-27,2016-04-07,11
284,1708,2016-03-27,2016-06-28,93
285,1710,2016-03-27,2016-04-07,11
286,1713,2016-03-27,2016-04-20,24
287,1722,2016-03-27,2016-04-08,12
288,1727,2016-03-27,2016-04-16,20
289,1737,2016-03-27,2016-04-07,11
290,1745,2016-03-27,2016-05-27,61
291,1747,2016-03-27,2016-05-10,44
292,1756,2016-03-27,2016-04-30,34
293,1757,2016-03-27,2016-04-30,34
294,1759,2016-03-27,2016-04-30,34
295,1763,2016-03-27,2016-04-16,20
296,1765,2016-03-27,2016-05-31,65
297,1767,2016-03-27,2016-04-21,25
298,1772,2016-03-27,2016-04-07,11
299,1776,2016-03-27,2016-04-07,11
300,1777,2016-03-27,2016-04-21,25
